Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Label
2,30.83,0,1,1,10,7,1.25,4,4,1,3,1,202,0,1
1,58.67,4.46,1,1,9,8,3.04,4,4,6,3,1,43,560,1
1,24.5,0.5,1,1,9,8,1.5,4,3,0,3,1,280,824,1
2,27.83,1.54,1,1,10,7,3.75,4,4,5,4,1,100,3,1
2,20.17,5.625,1,1,10,7,1.71,4,3,0,3,3,120,0,1
2,32.08,4,1,1,7,7,2.5,4,3,0,4,1,360,0,1
2,33.17,1.04,1,1,8,8,6.5,4,3,0,4,1,164,31285,1
1,22.92,11.585,1,1,3,7,0.04,4,3,0,3,1,80,1349,1
2,54.42,0.5,2,2,6,8,3.96,4,3,0,3,1,180,314,1
2,42.5,4.915,2,2,10,7,3.165,4,3,0,4,1,52,1442,1
2,22.08,0.83,1,1,1,8,2.165,3,3,0,4,1,128,0,1
2,29.92,1.835,1,1,1,8,4.335,4,3,0,3,1,260,200,1
1,38.25,6,1,1,6,7,1,4,3,0,4,1,0,0,1
2,48.08,6.04,1,1,6,7,0.04,3,3,0,3,1,0,2690,1
1,45.83,10.5,1,1,9,7,5,4,4,7,4,1,0,0,1
2,36.67,4.415,2,2,6,7,0.25,4,4,10,4,1,320,0,1
2,28.25,0.875,1,1,7,7,0.96,4,4,3,4,1,396,0,1
1,23.25,5.875,1,1,9,7,3.17,4,4,10,3,1,120,245,1
2,21.83,0.25,1,1,2,8,0.665,4,3,0,4,1,0,0,1
1,19.17,8.585,1,1,3,8,0.75,4,4,7,3,1,96,0,1
2,25,11.25,1,1,1,7,2.5,4,4,17,3,1,200,1208,1
2,23.25,1,1,1,1,7,0.835,4,3,0,3,3,300,0,1
1,47.75,8,1,1,1,7,7.875,4,4,6,4,1,0,1260,1
1,27.42,14.5,1,1,11,8,3.085,4,4,1,3,1,120,11,1
1,41.17,6.5,1,1,9,7,0.5,4,4,3,4,1,145,0,1
1,15.83,0.585,1,1,1,8,1.5,4,4,2,3,1,100,0,1
1,47,13,1,1,4,9,5.165,4,4,9,4,1,0,0,1
2,56.58,18.5,1,1,2,9,15,4,4,17,4,1,0,0,1
2,57.42,8.5,1,1,12,8,7,4,4,3,3,1,0,0,1
2,42.08,1.04,1,1,10,7,5,4,4,6,4,1,500,1017.38550724638,1
2,29.25,14.79,1,1,13,7,5.04,4,4,5,4,1,168,0,1
2,42,9.79,1,1,11,8,7.96,4,4,8,3,1,0,0,1
2,49.5,7.585,1,1,4,9,7.585,4,4,15,4,1,0,5000,1
1,36.75,5.125,1,1,12,7,5,4,3,0,4,1,0,4000,1
1,22.58,10.75,1,1,9,7,0.415,4,4,5,4,1,0,560,1
2,27.83,1.5,1,1,10,7,2,4,4,11,4,1,434,35,1
2,27.25,1.585,1,1,3,8,1.835,4,4,12,4,1,583,713,1
1,23,11.75,1,1,11,8,0.5,4,4,2,4,1,300,551,1
2,27.75,0.585,2,2,3,7,0.25,4,4,2,3,1,260,500,1
2,54.58,9.415,1,1,14,14,14.415,4,4,11,4,1,30,300,1
2,34.17,9.17,1,1,1,7,4.5,4,4,12,4,1,0,221,1
2,28.92,15,1,1,1,8,5.335,4,4,11,3,1,0,2283,1
2,29.67,1.415,1,1,10,8,0.75,4,4,1,3,1,240,100,1
2,39.58,13.915,1,1,10,7,8.625,4,4,6,4,1,70,0,1
2,56.42,28,2,2,1,7,28.5,4,4,40,3,1,0,15,1
2,54.33,6.75,1,1,1,8,2.625,4,4,11,4,1,0,284,1
1,41,2.04,2,2,9,8,0.125,4,4,23,4,1,455,1236,1
2,31.92,4.46,1,1,3,8,6.04,4,4,3,3,1,311,300,1
2,41.5,1.54,1,1,4,9,3.5,3,3,0,3,1,216,0,1
2,23.92,0.665,1,1,1,7,0.165,3,3,0,3,1,100,0,1
1,25.75,0.5,1,1,1,8,0.875,4,3,0,4,1,491,0,1
